,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
204,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation.",10,9,THE+GUERNSEY+LITERARY+AND+POTATO+PEEL+PIE+SOCIETY
206,THE LACE READER,Brunonia Barry,Morrow,Secrets of a family of Salem women who foresee the future.,10,5,THE+LACE+READER
212,THE CLONE WARS,Karen Traviss,Del Rey,"In the years before “Revenge of the Sith,” the Republic does battle with an army of cloned soldiers; a “Star Wars” novel.",13,2,THE+CLONE+WARS
213,LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman encounters an old boyfriend.,10,9,LOVE+THE+ONE+YOU%27RE+WITH
214,FRACTURED,Karin Slaughter,Delacorte,An Atlanta detective pursue’s a teenage girl’s killer.,15,1,FRACTURED
220,ACHERON,Sherrilyn Kenyon,St. Martin’s,Book 12 of the Dark-Hunter paranormal series.,1,4,ACHERON
228,FOREIGN BODY,Robin Cook,Putnam,A medical student investigates a rising number of deaths among medical tourists at foreign hospitals.,13,3,FOREIGN+BODY
231,THE ASSASSIN,Stephen Coonts,St. Martin’s,A top Qaeda terrorist pursues the Western leaders who are trying to defeat him.,12,4,THE+ASSASSIN
233,THE GARGOYLE,Andrew Davidson,Doubleday,A hideously burned man is cared for by a sculptress who claims they were lovers seven centuries ago.,13,3,THE+GARGOYLE
240,SMOKE SCREEN,Sandra Brown,Simon & Schuster,"Scandalous deaths thwart the investigation of a fatal fire at police headquarters in Charleston, S.C.",1,5,SMOKE+SCREEN
247,THE MERCEDES COFFIN,Faye Kellerman,Morrow,Decker and Lazarus investigate cases of murder victims found in Mercedes-Benz trunks.,11,3,THE+MERCEDES+COFFIN
248,OFF SEASON,Anne Rivers Siddons,Grand Central,A widow returns to her hometown in Maine to regather the strands of her life.,12,4,OFF+SEASON
251,THE 19TH WIFE,David Ebershoff,Random House,A tale of Mormon outcasts past and present: a wife of Brigham Young and a son of a murdered polygamist.,12,1,THE+19TH+WIFE
253,THE ASSASSIN,Stephen Coonts,St. Martin’s,A top Qaeda terrorist pursues Western leaders.,12,4,THE+ASSASSIN
260,THE FORCE UNLEASHED,Sean Williams,Del Rey,An apprentice to Darth Vader is dispatched to kill the last of his master’s enemies; a “Star Wars” novel.,1,4,THE+FORCE+UNLEASHED
271,BEING ELIZABETH,Barbara Taylor Bradford,St. Martin’s,A 25-year-old newly in control of her family’s corporate empire faces tough choices in business and in love.,12,1,BEING+ELIZABETH
274,ROUGH JUSTICE,Jack Higgins,Putnam,Violence and intrigue await an American agent in Kosovo.,14,2,ROUGH+JUSTICE
277,LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,10,9,LOVE+THE+ONE+YOU%27RE+WITH
280,DEVIL BONES,Kathy Reichs,Scribner,"In the 11th Temperance Brennan mystery, the forensic anthropologist must identify two victims of voodoo and devil worship.",1,4,DEVIL+BONES
281,THE GYPSY MORPH,Terry Brooks,Del Rey/ Ballantine,"In the third volume of the Genesis of Shannara series, champions of the Word and the Void clash.",10,3,THE+GYPSY+MORPH
283,SILKS,Dick Francis and Felix Francis,Putnam,A British defense lawyer and amateur jockey reluctantly represents another jockey who seems to be guilty of murder.,11,3,SILKS
291,OFF SEASON,Anne Rivers Siddons,Grand Central,A widow returns to her hometown in Maine.,12,4,OFF+SEASON
295,THE LAUGHTER OF DEAD KINGS,Elizabeth Peters,Morrow,The art historian and sleuth Vicky Bliss must discover who stole an Egyptian relic.,16,1,THE+LAUGHTER+OF+DEAD+KINGS
296,JUST BREATHE,Susan Wiggs,Mira,"Her marriage broken, the author of a syndicated comic strip flees to California, where romance and surprise await.",16,0,JUST+BREATHE
300,DARK CURSE,Christine Feehan,Berkley,"Lara Callandine, an expert in the field of ice-cave study, joins with Nicholas De La Cruz to search for the truth about their pasts; a Carpathian novel.",1,3,DARK+CURSE
301,THE BOOK OF LIES,Brad Meltzer,Grand Central,"The murder of the father of Superman’s creator, Jerry Siegel, is linked to the biblical story of Cain and Abel.",11,5,THE+BOOK+OF+LIES
302,AMERICAN WIFE,Curtis Sittenfeld,Random House,A pretty librarian marries the alcoholic son of a wealthy political family who somehow becomes president.,12,5,AMERICAN+WIFE
312,HOME,Marilynne Robinson,"Farrar, Straus & Giroux",The events of the Pulitzer Prize-winning novel “Gilead” are revisited from another perspective.,1,7,HOME
314,SWEETHEART,Chelsea Cain,St. Martin’s,A pill-popping detective is obsessed with the beautiful serial killer who tortured him and who has escaped from prison.,15,1,SWEETHEART
318,THE SCOURGE OF GOD,S M Stirling,Roc,,19,0,THE+SCOURGE+OF+GOD
319,THE SECRET SERVANT,Daniel Silva,Putnam,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, joins the search for the kidnapped daughter of an American ambassador.",1,6,THE+SECRET+SERVANT
320,ANATHEM,Neal Stephenson,William Morrow,An order of cloistered mathematicians and scientists must save their Earth-like planet when catastrophe threatens.,1,4,ANATHEM
322,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,A journalist meets with residents of the island of Guernsey who resisted the Nazi occupation.,10,9,THE+GUERNSEY+LITERARY+AND+POTATO+PEEL+PIE+SOCIETY
324,DARK CURSE,Christine Feehan,Berkley,A Carpathian novel.,1,3,DARK+CURSE
326,THE KEEPSAKE,Tess Gerritsen,"Ballantine,",A killer who mummifies his victims is on the loose in Boston.,15,2,THE+KEEPSAKE
327,DEVIL BONES,Kathy Reichs,Scribner,"Temperance Brennan, the forensic anthropologist, must identify two victims of voodoo and devil worship.",1,4,DEVIL+BONES
328,THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,1,9,THE+STORY+OF+EDGAR+SAWTELLE
329,THE GYPSY MORPH,Terry Brooks,Del Rey/ Ballantine,The third volume of the Genesis of Shannara series.,10,3,THE+GYPSY+MORPH
335,SUPREME COURTSHIP,Christopher Buckley,Twelve,A Washington satire.,16,1,SUPREME+COURTSHIP
339,FINE JUST THE WAY IT IS,E Annie Proulx,Simon & Schuster,,20,0,FINE+JUST+THE+WAY+IT+IS
341,THE OTHER QUEEN,Philippa Gregory,Touchstone,"The story of Mary, Queen of Scots, in captivity under Queen Elizabeth.",10,6,THE+OTHER+QUEEN
342,FAEFEVER,Karen Marie Moning,Delacorte,MacKayla is caught in the middle as the faes battle it out in Dublin; the third part of the Fever series.,13,3,FAEFEVER
343,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf,A hacker and a journalist help a wealthy octogenarian investigate his niece’s disappearance 40 years ago; the first part of a trilogy by the late Swedish journalist.,10,5,THE+GIRL+WITH+THE+DRAGON+TATTOO
349,INDIGNATION,Philip Roth,Houghton Mifflin,"A Newark, N.J., college student in the Korean War era breaks with his parents and goes to a school in the Midwest.",10,2,INDIGNATION
350,PAUL OF DUNE,Brian Herbert and Kevin J Anderson,Doherty,The story of Paul Muad’Dib and his jihad that took place between Frank Herbert’s novels “Dune” and “Dune Messiah.”,11,1,PAUL+OF+DUNE
351,ORDER 66,Karen Traviss,Del Rey,The Republic’s clone forces fight against treacherous odds; a “Star Wars” novel.,12,1,ORDER+66
358,LIBERTY,Garrison Keillor,Viking,,19,0,LIBERTY
361,HEAT LIGHTNING,John Sandford,Putnam,Virgil Flowers investigates murder cases linked by a lemon in the mouth of each victim.,13,5,HEAT+LIGHTNING
362,THE GIVEN DAY,Dennis Lehane,William Morrow,"A policman, a fugitive and their families persevere in the turbulence of Boston at the end of World War I.",10,4,THE+GIVEN+DAY
363,HOT MAHOGANY,Stuart Woods,Putnam,A Stone Barrington mystery set amid the intrigues of the world of antiques and old and new money in New England.,14,3,HOT+MAHOGANY
364,ONE FIFTH AVENUE,Candace Bushnell,Hyperion,"The worlds of gossip, theater and hedge funds have one address in common.",11,6,ONE+FIFTH+AVENUE
366,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf,A hacker and a journalist investigate the disappearance of an octogenarian’s niece 40 years ago.,10,5,THE+GIRL+WITH+THE+DRAGON+TATTOO
367,TSAR,Ted Bell,Simon & Schuster,The Kremlin has a brutal killer working for it in America.,11,3,TSAR
368,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,A journalist meets the island’s old Nazi resisters.,10,9,THE+GUERNSEY+LITERARY+AND+POTATO+PEEL+PIE+SOCIETY
372,FAEFEVER,Karen Marie Moning,Delacorte,MacKayla is caught in the middle as the faes battle in Dublin.,13,3,FAEFEVER
375,THE COMFORTS OF A MUDDY SATURDAY,Alexander McCall Smith,Knopf,Isabel Dalhousie investigates drug fraud charges.,16,1,THE+COMFORTS+OF+A+MUDDY+SATURDAY
376,NIGHT OF THUNDER,Stephen Hunter,Simon & Schuster,A family of deranged evangelicals is somehow involved in a conspiracy that has left Bob Lee Swagger’s daughter in a coma.,17,0,NIGHT+OF+THUNDER
380,THE LUCKY ONE,Nicholas Sparks,Grand Central,A marine returning home sets out to find the woman whose photo he found in Iraq.,1,9,THE+LUCKY+ONE
384,TSAR,Ted Bell,"Atria,",The Kremlin has a brutal killer working for it in America.,11,3,TSAR
385,THE OTHER QUEEN,Philippa Gregory,Touchstone,"The captivity of Mary, Queen of Scots.",10,6,THE+OTHER+QUEEN
386,A CEDAR COVE CHRISTMAS,Debbie Macomber,Mira,A pregnant woman shows up in Cedar Cove on Christmas Eve and goes into labor in a room above a stable.,13,4,A+CEDAR+COVE+CHRISTMAS
388,THE GIVEN DAY,Dennis Lehane,Morrow,"A policeman, a fugitive and their families persevere in the turbulence of Boston at the end of World War I.",10,4,THE+GIVEN+DAY
392,ANATHEM,Neal Stephenson,Morrow,An order of cloistered mathematicians and scientists must save their Earth-like planet when catastrophe threatens.,1,4,ANATHEM
400,THE LUCKY ONE,Nicholas Sparks,Grand Central,A marine returning home sets out to track down the woman whose photo he found in Iraq.,1,9,THE+LUCKY+ONE
402,THE PIRATE KING,R A Salvatore,Wizards of the Coast,"In Book 2 of the Transitions fantasy series, Drizzt returns to Luskan, a city dominated by dangerous pirates.",19,2,THE+PIRATE+KING
403,A MOST WANTED MAN,John le Carré,Scribner,Intelligence agencies involved in the war on terror converge in Hamburg when a young Muslim man with mysterious connections shows up.,11,4,A+MOST+WANTED+MAN
406,THE OTHER QUEEN,Philippa Gregory,Touchstone,"The captivity of Mary, Queen of Scots at the hands of Queen Elizabeth I.",10,6,THE+OTHER+QUEEN
407,GRACE,Richard Paul Evans,Simon & Schuster,"A runaway girl and the two boys who try to save her, from the author of “The Christmas Box” and “The Gift.”",17,1,GRACE
409,THE GIVEN DAY,Dennis Lehane,Morrow,"A policeman, a fugitive and their families persevere in a turbulent Boston at the end of World War I.",10,4,THE+GIVEN+DAY
415,DEVIL'S BROOD,Sharon Kay Penman,Putnam,,16,0,DEVIL%27S+BROOD
417,THE QUILTER'S KITCHEN,Jennifer Chiaverini,Simon & Schuster,,18,0,THE+QUILTER%27S+KITCHEN
418,AMERICAN WIFE,Curtis Sittenfeld,Random House,A pretty librarian marries the alcoholic scion of a wealthy political family who somehow becomes president.,12,5,AMERICAN+WIFE
419,FOUNDATION,Mercedes Lackey,DAW,,20,0,FOUNDATION
420,THE BRASS VERDICT,Michael Connelly,"Little, Brown",Harry Bosch and Mickey Haller (the Lincoln lawyer) team up to find a killer.,1,6,THE+BRASS+VERDICT
423,A LION AMONG MEN,Gregory Maguire,Morrow,"A looming civil war in Oz, seen through the eyes of the Cowardly Lion; the sequel to “Wicked” and “Son of a Witch.”",10,4,A+LION+AMONG+MEN
427,THE PIRATE KING,R A Salvatore,Wizards of the Coast,"In Book 2 of the Transitions fantasy series, Drizzt returns to Luskan, a city dominated by dangerous ­pirates.",19,2,THE+PIRATE+KING
428,A WALLFLOWER CHRISTMAS,Lisa Kleypas,St. Martin’s,Matchmaking in Victorian London.,9,1,A+WALLFLOWER+CHRISTMAS
429,THE OTHER QUEEN,Philippa Gregory,Touchstone,"The captivity of Mary, Queen of Scots, at the hands of Queen Elizabeth.",10,6,THE+OTHER+QUEEN
431,THE FIRE,Katherine Neville,Ballantine,"The most powerful piece of Charlemagne’’s chess service has reappeared, restarting the Game; a sequel to “The Eight.”",12,1,THE+FIRE
434,THE GIVEN DAY,Dennis Lehane,Morrow,Two families in a turbulent Boston at the end of World War I.,10,4,THE+GIVEN+DAY
435,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation. Originally published in 2008.",10,9,THE+GUERNSEY+LITERARY+AND+POTATO+PEEL+PIE+SOCIETY
437,TSAR,Ted Bell,Atria,The Kremlin has a brutal killer working for it in America.,11,3,TSAR
439,I SEE YOU EVERYWHERE,Julia Glass,Pantheon,Tracing the relationship between two very different sisters over the course of 25 years.,20,0,I+SEE+YOU+EVERYWHERE
440,EXTREME MEASURES,Vince Flynn,Atria,Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.,1,6,EXTREME+MEASURES
443,BONES,Jonathan Kellerman,Ballantine,The psychologist-detective Alex Delaware is called in when women’s bodies keep turning up in a Los Angeles marsh.,11,3,BONES
445,ROUGH WEATHER,Robert B Parker,Putnam,The Boston private eye Spenser gets involved when a gunman kidnaps the bride from her wedding on a private island.,14,3,ROUGH+WEATHER
446,A LION AMONG MEN,Gregory Maguire,Morrow,"A looming civil war in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.",10,4,A+LION+AMONG+MEN
447,TESTIMONY,Anita Shreve,"Little, Brown",A sex scandal at a Vermont prep school is caught on tape.,10,5,TESTIMONY
448,A MOST WANTED MAN,John le Carré,Scribner,Intelligence agencies converge in Hamburg when a young Muslim man with mysterious connections shows up.,11,4,A+MOST+WANTED+MAN
449,DARK SUMMER,Iris Johansen,St. Martin’s,A veterinarian cares for an injured dog with an amazing secret.,10,2,DARK+SUMMER
451,THE HOST,Stephenie Meyer,"Little, Brown",One woman won’t surrender to the aliens that have taken control.,10,9,THE+HOST
453,MILLENNIUM FALCON,James Luceno,Del Rey,"Jacen Solo’s daughter, Allana, discovers a curious device aboard her grandfather Han’s beloved spacecraft; a “Star Wars” book.",14,1,MILLENNIUM+FALCON
456,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.,10,5,THE+GIRL+WITH+THE+DRAGON+TATTOO
460,THE GATE HOUSE,Nelson DeMille,Grand Central,In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.,1,9,THE+GATE+HOUSE
464,A GOOD WOMAN,Danielle Steel,Delacorte,An American society girl who made a new life as a doctor in World War I France returns to New York.,10,2,A+GOOD+WOMAN
477,A MCKETTRICK CHRISTMAS,Linda Lael Miller,HQN,,18,0,A+MCKETTRICK+CHRISTMAS
480,DIVINE JUSTICE,David Baldacci,Grand Central,"Members of Washington’s Camel Club rally to save their leader, who is hiding out in the town of Divine, Va.",1,9,DIVINE+JUSTICE
481,SALVATION IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas investigates the murder of a priest who was not who he seemed; by Nora Roberts, writing pseudonymously.",15,3,SALVATION+IN+DEATH
482,SWALLOWING DARKNESS,Laurell K Hamilton,Ballantine,"In the seventh Meredith Gentry paranormal romance, Meredith is pregnant with twins by one of her guards; their birth will enable her to claim her place as queen of faerie, but enemies plot against her.",10,2,SWALLOWING+DARKNESS
486,MIDNIGHT,Sister Souljah,Atria,A boy from Sudan struggles to protect his mother and sister and remain true to his Islamic principles in a Brooklyn housing project.,14,2,MIDNIGHT
496,SANTA CLAWED,Rita Mae Brown & Sneaky Pie Brown,Bantam,"As the holidays approach, monks start turning up dead in Crozet, Va.; a Mrs. Murphy mystery.",17,0,SANTA+CLAWED
500,THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Threshold Editions,A boy learns from his disappointment with his mother’s gift.,1,9,THE+CHRISTMAS+SWEATER
501,JUST AFTER SUNSET,Stephen King,Scribner,Short stories blending fantasy and psychological realism.,12,8,JUST+AFTER+SUNSET
503,THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,A man reconstructs five generations of family history and secrets from a cache of old diaries and letters.,10,9,THE+HOUR+I+FIRST+BELIEVED
504,A MERCY,Toni Morrison,Knopf,"In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.",10,9,A+MERCY
507,SALVATION IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas investigates the murder of a mysterious priest; by Nora Roberts, writing pseudonymously.",15,3,SALVATION+IN+DEATH
509,SWALLOWING DARKNESS,Laurell K Hamilton,Ballantine,"In the seventh Meredith Gentry paranormal romance, Meredith is pregnant with twins.",10,2,SWALLOWING+DARKNESS
512,THE BODIES LEFT BEHIND,Jeffery Deaver,Simon & Schuster,A sheriff’s deputy is hunted in the Wisconsin woods by hit men after she finds the scene of their crime.,13,2,THE+BODIES+LEFT+BEHIND
515,ENDER IN EXILE,Orson Scott Card,Tor/Tom Doherty,The latest entry in the “Ender” science fiction series.,16,1,ENDER+IN+EXILE
520,CROSS COUNTRY,James Patterson,"Little, Brown",Alex Cross chases the leader of a lethal teenage gang.,1,9,CROSS+COUNTRY
522,THE PRIVATE PATIENT,P D James,Knopf,Cmdr. Adam Dalgliesh investigates the murder of a journalist who had been a patient at a private clinic.,11,6,THE+PRIVATE+PATIENT
523,THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,A man reconstructs five generations of family history.,10,9,THE+HOUR+I+FIRST+BELIEVED
