,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
102,TAILSPIN,Catherine Coulter,Putnam,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague protecting a Washington psychiatrist who has been disclosing secrets about his powerful patients.,11,4,TAILSPIN
103,ROGUE,Danielle Steel,Delacorte,"A divorced doctor on the verge of marriage to a kind new man faces a quandary when her exasperating ex-husband, a dot-com millionaire, wants her to work with him on a humanitarian project.",13,3,ROGUE
106,THE LAST ORACLE,James Rollins,Morrow,Sigma Force operatives battle a group of rogue scientists.,12,3,THE+LAST+ORACLE
108,THE BEACH HOUSE,Jane Green,"Viking,",A woman’s life changes when she rents out rooms in her Nantucket house.,10,6,THE+BEACH+HOUSE
114,AMERICA AMERICA,Ethan Canin,Random House,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,15,2,AMERICA+AMERICA
116,THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",13,5,THE+ART+OF+RACING+IN+THE+RAIN
119,QUEEN OF BABBLE GETS HITCHED,Meg Cabot,HarperCollins Publishers,,20,0,QUEEN+OF+BABBLE+GETS+HITCHED
120,THE LAST PATRIOT,Brad Thor,Atria,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",1,6,THE+LAST+PATRIOT
123,TAILSPIN,Catherine Coulter,Putnam,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,11,4,TAILSPIN
126,CHASING DARKNESS,Robert Crais,Simon & Schuster,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,11,2,CHASING+DARKNESS
127,ROGUE,Danielle Steel,Delacorte,A divorced doctor about to remarry faces a quandary when her ex-husband asks her to work with him on a humanitarian project.,13,3,ROGUE
128,DEATH ANGEL,Linda Howard,Ballantine,A crime lord’s former mistress cooperates with the F.B.I.,12,2,DEATH+ANGEL
129,THE BEACH HOUSE,Jane Green,Viking,A woman’s life changes when she rents out rooms in her Nantucket house.,10,6,THE+BEACH+HOUSE
137,PLAGUE SHIP,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Ore­gon must determine what happened on a cruise ship full of dead bodies.,13,4,PLAGUE+SHIP
138,A SUMMER AFFAIR,Elin Hilderbrand,Little Brown & Company,A successful married artist is attracted to a billionaire on Nantucket.,18,0,A+SUMMER+AFFAIR
140,TRIBUTE,Nora Roberts,Putnam,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",1,6,TRIBUTE
143,THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,1,9,THE+STORY+OF+EDGAR+SAWTELLE
144,SWAN PEAK,James Lee Burke,Simon & Schuster,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,12,3,SWAN+PEAK
145,SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster.,1,9,SAIL
150,CHASING DARKNESS,Robert Crais,Simon & Schuster,Is the Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,11,2,CHASING+DARKNESS
154,SILENT THUNDER,Iris Johansen and Roy Johansen,St. Martin’s,A decommissioned Soviet submarine holds a deadly secret.,15,1,SILENT+THUNDER
162,RULES OF DECEPTION,Christopher Reich,Doubleday,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,11,2,RULES+OF+DECEPTION
167,JUST TOO GOOD TO BE TRUE,E Lynn Harris,Double­day,"Secrets threaten the relationship between a mother, a successful Atlanta entrepreneur, and her son, a college football player who is bound for the N.F.L.",13,3,JUST+TOO+GOOD+TO+BE+TRUE
171,SAY GOODBYE,Lisa Gardner,Bantam,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,12,2,SAY+GOODBYE
174,KILLER VIEW,Ridley Pearson,Putnam,"A sheriff in Sun Valley, Idaho, investigates a series of crimes against a backdrop of conflict between wealthy vacationers and locals.",15,1,KILLER+VIEW
177,A THOUSAND SPLENDID SUNS,Khaled Hosseini,Riverhead,A friendship between two Afghan women — born a generation apart and with very different ideas about love and family — against the backdrop of 30 years of war.,18,0,A+THOUSAND+SPLENDID+SUNS
179,THE ENCHANTRESS OF FLORENCE,Salman Rushdie,Random House,,18,0,THE+ENCHANTRESS+OF+FLORENCE
180,THE SECRET SERVANT,Daniel Silva,Putnam,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",1,6,THE+SECRET+SERVANT
186,INTO THE FIRE,Suzanne Brockmann,Ballantine,A former employee of an elite security company comes out of hiding to confront a murderous neo-Nazi group.,7,1,INTO+THE+FIRE
187,DAMAGE CONTROL,J A Jance,Morrow,An elderly couple’s suicide-by-accident in the mountains is not what it appears; the 13th Joanna Brady mystery.,11,2,DAMAGE+CONTROL
192,JUST TOO GOOD TO BE TRUE,E Lynn Harris,Double­day,"Secrets threaten the relationship between a mother and her son, a college football player.",13,3,JUST+TOO+GOOD+TO+BE+TRUE
195,THE BEACH HOUSE,Jane Green,Viking,A woman rents out rooms in her Nantucket house.,10,6,THE+BEACH+HOUSE
197,BY SCHISM RENT ASUNDER,David Weber,Tor,,18,0,BY+SCHISM+RENT+ASUNDER
201,THE BOURNE SANCTION,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne pursues the leader of a Muslim terrorist group.,11,7,THE+BOURNE+SANCTION
